Python技术支持工程师（上海）,北京推想科技有限公司,8K-15K,大专
大数据分析师,上海市住房保障和房屋管理局人才服务考核评价中心,10K-15K,本科
IT部Data&AI项目实习生,上海药明生物技术有限公司,2K-4K,本科
产品经理,易谷网络科技股份有限公司,18K-25K,本科
教育名企 销售顾问,上海乂学教育科技有限公司,10K-15K,大专
上市金融 开户专员 底薪5.8k+提成+6金,上海石擎商务咨询有限公司,10K-15K,大专
期货专员网销/电销底薪6K 优质客户资源高薪,敬悦商务（上海总部）,10K-15K,大专
大客户代表（SaaS系统）,三体云智能科技有限公司,12K-24K,大专
薪酬专员 (MJ001673),上海依图网络科技有限公司,10K-20K,本科
园区招商经理,宏泰发展,8K-12K,本科
电话邀约专员TMK,上海乂学教育科技有限公司,8K-10K,大专
售前经理,北京捷通华声科技股份有限公司,15K-30K,本科
校园招聘专员 (MJ001664),上海依图网络科技有限公司,10K-20K,本科
技术研究规划岗,上交所技术有限责任公司,薪资面议,硕士
算法工程师-鼎富科技-华东交付中心,北京神州泰岳软件股份有限公司,15K-30K,硕士
AI训练师,深圳麦亚信科技股份有限公司,4.5K-7K,大专
期货理财顾问 底薪4800+津贴1000+提成,上海上巢实业有限公司,10K-15K,大专
后端开发工程师（泛安防产品） (MJ001955),上海依图网络科技有限公司,15K-30K,本科
大数据开发工程师,上海宣优技术服务中心,8K-16K,本科
期货专员 网销/电销上市公司月薪平均1.2万+,敬悦商务（上海总部）,10K-15K,大专
售后续费班主任,上海乂学教育科技有限公司,10K-15K,大专
金融销售 底薪5800 月薪1.5万+,上海上巢实业有限公司,10K-15K,大专
python工程师,深圳麦亚信科技股份有限公司,10K-15K,本科
经执委-数据产品研发中心-金融工程分析师岗,国金证券股份有限公司,15K-20K,硕士
脑科学研究专家（上海）,浙江我武生物科技股份有限公司,20K-40K,博士
解决方案架构师（泛安防） (MJ001555),上海依图网络科技有限公司,15K-30K,本科
运维工程师-上海中山公园,上海合胜计算机科技股份有限公司,15K-30K,本科
上市金融 月薪1W-3W 聘-客户专员,上海石擎商务咨询有限公司,10K-15K,大专
期货专员 网销/电销 底薪6K 月薪平均1.2万,敬悦商务（上海总部）,10K-15K,大专
医学经理-肿瘤-上海,任仕达企业管理(上海)有限公司深圳分公司,30K-50K,硕士
金融开户专员 底薪5800 月薪12000+,敬悦商务（上海总部）,15K-20K,大专
交付工程师,上海合胜计算机科技股份有限公司,15K-30K,本科
员工关系主管/经理 (MJ001709),上海依图网络科技有限公司,18K-36K,本科
4SW08嵌入式软件工程师,中国科学院上海微系统与信息技术研究所,8K-16K,硕士
技术项目经理,公牛集团有限公司,15K-20K,本科
Java开发工程师,北京神州新桥科技有限公司,12K-16K,本科
课程顾问（线上编程）,上海傲梦网络科技有限公司,10K-15K,大专
26381-腾讯云文旅行业高级运营经理（上海/武汉）（上海）,深圳市腾讯计算机系统有限公司,薪资面议,学历不限
开发工程师AI方向,光大证券股份有限公司,10K-20K,本科
22989-开源技术规划专家（上海）,深圳市腾讯计算机系统有限公司,薪资面议,学历不限
2020满帮集团-校园大使,江苏满运软件科技有限公司,2K-4K,本科
高薪课程销售（淞虹路）,上海傲梦网络科技有限公司,15K-20K,大专
25664-政务售前架构师-智慧城市方向（上海）,深圳市腾讯计算机系统有限公司,薪资面议,学历不限
软件开发工程师,北京神州新桥科技有限公司,12K-17K,本科
Python开发工程师,大连斯锐信息技术有限公司,15K-20K,本科
硬件产品经理,上海复星高科技（集团）有限公司,15K-30K,本科
销售总监（医学显微镜）,上海复星高科技（集团）有限公司,30K-60K,本科
课程顾问,上海傲梦网络科技有限公司,20K-30K,大专
海外项目经理（安防解决方案） (MJ001811),上海依图网络科技有限公司,20K-40K,本科
市场营销管培生,上海清鹤科技股份有限公司,6K-10K,本科
（总部）Java开发经理,上海源耀生物股份有限公司,15K-20K,本科
【期货专员】上市公司 薪资高/福利好,上海石擎商务咨询有限公司,10K-15K,大专
nlp研发工程师,上海信医科技有限公司,20K-40K,硕士
店小蜜训练师,上海百秋电子商务有限公司,6K-8K,大专
HRIS主管 (MJ001657),上海依图网络科技有限公司,12K-24K,本科
大客户经理,深圳市凌宜科技有限公司,8K-12K,大专
架构师,上海润利电梯配件技术开发有限公司,20K-35K,本科
Java高级开发工程师,东方网力科技股份有限公司,15K-30K,本科
php开发,上海煜喜环保科技有限公司,8K-10K,大专
研究经理/高级研究经理（消费者方向）,广州筷子信息科技有限公司,15K-25K,本科
安全工具研发工程师,中电科网络空间安全研究院有限公司,薪资面议,本科
期货专员 网销/电销 底薪6K 月薪平均1.2万+,敬悦商务（上海总部）,10K-15K,大专
海外会议销售（R6）,上海华昂商务咨询有限公司,10K-15K,大专
新技术研究工程师（金融科技领域）,中移(上海)信息通信科技有限公司,薪资面议,硕士
产品营销经理（泛安防产品） (MJ001883),上海依图网络科技有限公司,15K-30K,本科
高级大数据工程师（智慧交通领域）,中移(上海)信息通信科技有限公司,薪资面议,本科
软件开发工程师,上海思拓测量技术有限公司,15K-20K,本科
产品经理,上海大微物流科技有限公司,13K-20K,本科
ELK架构师,北京伟仕佳杰信息技术服务有限公司,25K-35K,本科
算法工程师（金融科技领域）,中移(上海)信息通信科技有限公司,薪资面议,本科
产品经理,上海李和杜筑作室内装饰设计有限公司,10K-15K,本科
前端开发工程师,深圳市小小金融服务有限公司,15K-30K,本科
JAVA开发工程师,上海梅斯医药科技有限公司,11K-16K,本科
AE动效设计师,上海适途汽车技术有限公司,12K-18K,大专
电商运营,深圳摩墅狮人工智能有限公司,10K-15K,本科
系统测试工程师,特斯联(北京)科技有限公司,12K-18K,本科
量化投资经理-上海证券自营分公司(J11389),东北证券股份有限公司,薪资面议,硕士
高级算法工程师（金融科技领域）,中移(上海)信息通信科技有限公司,薪资面议,本科
国际会议大客户经理,上海华昂商务咨询有限公司,8K-10K,大专
车联网需求分析师,深圳联想懂的通信有限公司,8K-12K,本科
高级产品经理,上海李和杜筑作室内装饰设计有限公司,20K-30K,本科
方案经理,上海优必杰教育科技有限公司,10K-18K,大专
平头哥-AI芯片-编译器技术专家,阿里巴巴集团,薪资面议,本科
销售总监,山东领信信息科技股份有限公司,13K-25K,本科
数据库开发工程师（DBA）12,上海复深蓝软件股份有限公司,7K-14K,学历不限
销售经理/客户经理,北京四维智联科技有限公司,15K-20K,学历不限
客服专员,上海隆长信息技术有限公司,6K-8K,大专
3D图形算法工程师,天津正丽科技有限公司,12K-16K,本科
算法工程师（智慧交通领域）,中移(上海)信息通信科技有限公司,薪资面议,本科
高级新技术研究（金融科技领域）,中移(上海)信息通信科技有限公司,薪资面议,硕士
仿真应用工程师,上海易教信息科技有限公司,10K-15K,本科
网络金融总部-AI算法产品经理,申万宏源证券有限公司,10K-15K,硕士
